Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	12 Prescott Street		Arlington	MA	02747	Middlesex	(781) 643-1668					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	1 Frederick Abbott Way		Framingham	MA	01701	Middlesex	(508) 879-9800					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	88 Lincoln Street		Framingham	MA	01701	Middlesex	(508) 620-0010					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	68 Henry Street		Framingham	MA	01702	Middlesex	(508) 879-1424					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	6 Pleasant Street	Suite 220	Malden	MA	02148	Middlesex	(781) 338-2640					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	10 Asylum Street		Milford	MA	01757	Worcester	(508) 478-6888					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	118 Central Street		Waltham	MA	02453	Middlesex	(781) 647-1432					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				
Wayside Youth	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Housing and Shelter Services	Hotline Services	Awareness and Advocacy		Behavioral Health Services 	Para-professional Support Services	Placement Services	Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Short-term Stabilization	Hotline Services	Community Outreach, Education and Engagement		Direct Prevention, Outreach and Stabilization Services			http://www.waysideyouth.org/	127 North Beacon Street		Watertown	MA	02472	Middlesex	(617) 924-1027; (617) 926-3600 					LGBTQ					Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.				A prevention, outreach and counseling service center for the diverse population of Watertown and surrounding communities. Community and outreach activities include involvement in the Watertown Youth Coalition, community peer leadership programs, HIV/AIDS, substance abuse, violence and gang prevention in minority communities, school-based services, youth development outreach, and after-school programs.
Wesley United Methodist Church	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.wesleyworc.org	114 Main Street		Worcester	MA	01608	Worcester	(508) 799-4191														
YARN (Young Adult Resource Network)	Employment & Housing Services		Housing and Shelter Services	Job Development and Placement					Employment	Basic Support		Job Development and Placement 	Housing Search						Child/Adolescent Community Based Social Skills and Recreation			http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo			Dorcester	MA	02122	Suffolk	(617) 287-0160					LGBTQ			17	22	The Young Adult Resource Network assists young adults ages 17-22 who are involved with the Department of Children and Families (DCF) in obtaining stable housing, employment, physical and psychological wellness, and educational and community involvement, while developing supportive relationships.				
Zenaida “Sandy” Ortega, Valley Psychiatric Services	Mental  Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services				Health Care 	 Behavioral Health Services		Psychiatric Services	Clinical Counseling	Behavioral Counseling	Substance Abuse Services  				Clinical and Medical Counseling, Therapy, and Treatment	Clinical and Medical Diagnostics		http://valleypsychiatric.com/	511 East Columbus Avenue		Springfield	MA	01105	Hampden	(413) 827-8959 x1583					LGBTQ	Transgender				Mental health clinician for LGBT individuals; gender evaluations and letters for change of gender identification, hormone therapy, sexual reassignment, and other surgery and legal matters				
UniTy of the Pioneer Valley	Community & Social Support		Community Group						Para-professional Support Services													https://groups.yahoo.com/neo/groups/unity-of-the-pioneer-valley/info	3300 Main Street		Springfield	MA	01105	Hampden	 Keri (413) 231-8834  Deja (860) 604-6343					Transgender					This group is open to people who identify as transgender, as well as their allies, friends, significant others and family members.  We are an inclusive group, and very much welcome supportive people from the larger GLBT community. 				The UniTy group meets every 2nd Thursday of the month at 3300 Main Street, Springfield, MA.  The meetings provide support to transgendered persons, their allies and all GLBTs.  The confidentiality of the meeting provides a safe environment in which to address issues related to transition, such as relationships, family, spirituality, workplace and fashion. The meeting runs from 7:00 to 9:00 pm. 
